climate_11h,climate_14h,climate_17h,date,max_temperature,min_temperature,sunny_time
,,Très nuageux,2013-10-05,20.4,10.4,8
Très nuageux,Très nuageux,Très nuageux,2013-11-05,16.4,7.0,0
Bancs de brouillard,,,2013-12-05,9.1,1.7,7
Très nuageux,Bruine,Très nuageux,2013-05-14,13.5,8.4,0
,Eclaircies,Très nuageux,2013-05-15,14.2,4.6,6
Eclaircies,Très nuageux,Bruine,2013-05-16,14.2,5.0,4
,,,2013-05-17,18.5,3.0,12
,Très nuageux,Très nuageux,2013-05-18,16.6,6.3,6
Très nuageux,Très nuageux,Très nuageux,2013-05-21,17.2,11.6,0
Très nuageux,Très nuageux,Très nuageux,2013-05-22,16.6,11.0,1
Très nuageux,,,2013-05-23,13.6,6.2,9
Très nuageux,Très nuageux,Très nuageux,2013-05-24,11.1,2.9,2
Eclaircies,,Très nuageux,2013-05-25,14.9,7.3,7
,Très nuageux,Très nuageux,2013-05-26,18.1,2.5,8
Très nuageux,Bruine,Bruine,2013-05-28,14.4,7.8,4
Très nuageux,Très nuageux,,2013-05-29,15.0,5.6,2
Bruine,Très nuageux,Eclaircies,2013-05-30,16.1,9.7,1
Très nuageux,Très nuageux,,2013-05-31,18.3,10.5,9
Très nuageux,Très nuageux,Très nuageux,2013-01-06,5.6,4.7,0
Très nuageux,Bruine,Eclaircies,2013-02-06,7.3,3.2,3
Très nuageux,Très nuageux,Très nuageux,2013-04-06,8.4,2.8,1
,,,2013-05-06,22.4,6.6,11
,,,2013-06-06,27.5,10.6,13
,Très nuageux,,2013-07-06,26.9,10.7,13
Très nuageux,Très nuageux,Très nuageux,2013-08-06,24.6,13.7,7
Très nuageux,,Eclaircies,2013-09-06,21.1,13.4,3
Très nuageux,Très nuageux,Très nuageux,2013-11-06,17.4,13.2,1
Très nuageux,,,2013-12-06,11.1,4.4,6
Bruine,Très nuageux,,2013-06-13,20.0,12.9,5
Très nuageux,Très nuageux,Eclaircies,2013-06-14,20.8,9.4,9
Très nuageux,Très nuageux,Très nuageux,2013-06-15,19.0,10.9,8
Très nuageux,Très nuageux,,2013-06-16,21.1,10.8,3
Très nuageux,Très nuageux,Très nuageux,2013-06-18,20.7,12.2,1
Bruine,Très nuageux,Très nuageux,2013-06-19,21.1,14.2,1
Très nuageux,Très nuageux,Très nuageux,2013-06-20,21.0,11.5,3
Très nuageux,Bruine,Très nuageux,2013-06-21,21.2,12.4,1
Très nuageux,Très nuageux,Très nuageux,2013-06-22,20.1,12.5,1
Bruine,Très nuageux,Très nuageux,2013-06-23,17.1,12.3,2
,,Très nuageux,2013-09-07,21.8,8.6,10
Très nuageux,,Très nuageux,2013-10-07,21.4,8.2,5
Bruine,Très nuageux,Très nuageux,2013-11-07,17.1,12.7,0
,,,2013-12-07,9.7,1.6,8
,,,2013-07-13,28.4,12.9,14
Très nuageux,,,2013-07-16,28.5,15.1,10
,,,2013-07-17,30.2,13.3,14
,,,2013-07-18,30.6,13.5,10
,,Très nuageux,2013-07-19,30.9,15.4,7
,,,2013-07-20,32.1,19.4,11
,,Très nuageux,2013-07-23,28.5,15.9,4
,,Eclaircies,2013-07-24,28.4,13.8,11
Très nuageux,Très nuageux,Très nuageux,2013-07-25,27.7,17.9,4
,Très nuageux,Très nuageux,2013-07-26,26.6,14.6,5
Rares averses,Très nuageux,Bruine,2013-07-27,23.2,16.6,1
Très nuageux,Très nuageux,Très nuageux,2013-07-30,22.1,14.9,0
Très nuageux,Très nuageux,Eclaircies,2013-07-31,27.7,17.9,4
Très nuageux,Très nuageux,Très nuageux,2013-01-08,6.4,4.9,0
,,Très nuageux,2013-02-08,7.2,1.6,5
Très nuageux,Eclaircies,,2013-03-08,16.3,8.8,5
Eclaircies,,Eclaircies,2013-06-08,24.5,14.3,6
